Hz	Vrms	dBV	deg
10.00	0.004	-47.158	87.8
20.00	0.004	-48.039	124.7
30.00	0.004	-47.463	-48.2
40.00	0.006	-44.781	-114.3
50.00	0.006	-44.189	-114.6
60.00	0.007	-43.696	-117.3
70.00	0.007	-43.648	-137.6
80.00	0.007	-43.008	-125.3
90.00	0.007	-43.065	-136.4
100.0	0.010	-39.779	-119.1
110.0	0.018	-35.089	-146.1
120.0	0.010	-40.173	-148.7
130.0	0.011	-39.227	-149.3
140.0	0.008	-42.290	-150.4
150.0	0.011	-39.510	-159.6
160.0	0.008	-41.884	-156.9
170.0	0.011	-38.951	-160.2
180.0	0.011	-39.136	-162.8
190.0	0.009	-40.844	-165.2
200.0	0.011	-39.461	-166.2
210.0	0.014	-37.208	-167.1
220.0	0.010	-40.327	-173.1
230.0	0.012	-38.736	-171.0
240.0	0.011	-38.843	-174.9
250.0	0.013	-37.744	-170.8
260.0	0.020	-33.855	-177.0
270.0	0.013	-37.977	-178.8
280.0	0.011	-39.008	-179.7
290.0	0.011	-38.797	178.0
300.0	0.013	-37.508	177.2
310.0	0.014	-37.385	176.4
320.0	0.014	-37.141	175.1
330.0	0.015	-36.256	173.9
340.0	0.022	-33.158	172.9
350.0	0.025	-32.200	170.9
360.0	0.020	-33.912	170.3
370.0	0.016	-35.867	169.2
380.0	0.015	-36.658	168.4
390.0	0.015	-36.490	167.0
400.0	0.016	-36.104	166.6
410.0	0.016	-35.837	165.4
420.0	0.017	-35.389	165.0
430.0	0.018	-35.132	163.0
440.0	0.019	-34.641	164.1
450.0	0.019	-34.231	162.1
460.0	0.020	-34.182	161.8
470.0	0.020	-33.786	160.8
480.0	0.021	-33.511	159.8
490.0	0.023	-32.806	158.3
500.0	0.026	-31.729	158.9
510.0	0.034	-29.486	158.0
520.0	0.041	-27.772	157.3
530.0	0.032	-29.993	156.8
540.0	0.027	-31.407	155.5
550.0	0.025	-32.160	154.7
560.0	0.024	-32.572	155.3
570.0	0.024	-32.407	154.9
580.0	0.025	-32.178	153.5
590.0	0.025	-32.011	153.1
600.0	0.026	-31.664	152.4
610.0	0.027	-31.481	151.8
620.0	0.027	-31.284	151.1
630.0	0.028	-30.976	150.6
640.0	0.029	-30.822	150.1
650.0	0.030	-30.550	149.8
660.0	0.030	-30.401	149.4
670.0	0.031	-30.255	148.7
680.0	0.031	-30.046	148.0
690.0	0.032	-29.842	147.5
700.0	0.033	-29.585	147.0
710.0	0.034	-29.408	146.6
720.0	0.034	-29.333	145.8
730.0	0.034	-29.289	145.9
740.0	0.035	-29.205	145.1
750.0	0.035	-29.093	144.6
760.0	0.036	-28.990	144.2
770.0	0.036	-28.830	143.8
780.0	0.036	-28.852	143.1
790.0	0.037	-28.714	142.1
800.0	0.037	-28.657	141.5
810.0	0.038	-28.502	141.9
820.0	0.038	-28.387	141.6
830.0	0.039	-28.248	141.3
840.0	0.039	-28.215	140.9
850.0	0.039	-28.076	140.4
860.0	0.040	-27.879	140.1
870.0	0.041	-27.760	139.7
880.0	0.042	-27.473	139.4
890.0	0.043	-27.231	138.8
900.0	0.044	-27.056	138.5
910.0	0.045	-27.012	138.3
920.0	0.045	-26.916	137.8
930.0	0.046	-26.786	137.5
940.0	0.046	-26.667	137.1
950.0	0.047	-26.563	136.9
960.0	0.048	-26.424	136.5
970.0	0.049	-26.147	136.2
980.0	0.050	-26.020	135.5
990.0	0.053	-25.585	135.6
1000.0	0.057	-24.934	135.3
