Hz	Vrms	dBV	deg
100.0	0.010	-39.715	-96.8
200.0	0.010	-40.159	-122.1
300.0	0.011	-39.212	-135.5
400.0	0.010	-40.006	-147.3
500.0	0.019	-34.606	-151.0
600.0	0.013	-37.863	-160.5
700.0	0.018	-35.002	-165.8
800.0	0.017	-35.209	-171.8
900.0	0.024	-32.284	-175.4
1000.0	0.037	-28.549	-179.0
2000.0	0.051	-25.881	156.6
3000.0	0.070	-23.143	143.2
4000.0	0.080	-21.989	134.9
5000.0	0.086	-21.324	129.6
6000.0	0.090	-20.913	126.2
7000.0	0.090	-20.891	124.2
8000.0	0.092	-20.763	122.0
9000.0	0.092	-20.767	121.8
10000	0.090	-20.905	121.1
