Hz	Vrms	dBV	deg
100.0	0.011	-39.139	-94.2
200.0	0.009	-40.927	-95.4
300.0	0.010	-40.033	-95.9
400.0	0.008	-41.733	-102.3
500.0	0.018	-35.117	-103.9
600.0	0.009	-40.720	-106.4
700.0	0.013	-37.610	-108.7
800.0	0.011	-39.037	-113.0
900.0	0.018	-35.034	-112.6
1000.0	0.032	-29.809	-115.1
2000.0	0.018	-34.814	-134.6
3000.0	0.024	-32.251	-146.3
4000.0	0.028	-30.935	-153.9
5000.0	0.034	-29.483	-158.6
6000.0	0.038	-28.332	-162.5
7000.0	0.041	-27.662	-164.9
8000.0	0.046	-26.678	-166.5
9000.0	0.051	-25.859	-167.6
10000	0.055	-25.184	-167.9
