Hz	Vrms	dBV	deg
10.00	0.004	-47.164	-159.6
20.00	0.004	-47.632	150.9
30.00	0.004	-47.626	106.1
40.00	0.005	-46.179	-110.1
50.00	0.007	-43.040	-111.1
60.00	0.007	-43.311	-103.4
70.00	0.007	-43.281	-113.8
80.00	0.008	-42.474	-118.6
90.00	0.007	-42.869	-127.0
100.0	0.010	-39.712	-119.5
110.0	0.018	-35.026	-131.9
120.0	0.010	-39.966	-139.1
130.0	0.011	-39.202	-139.8
140.0	0.008	-41.713	-145.1
150.0	0.010	-39.732	-157.8
160.0	0.008	-41.615	-148.7
170.0	0.011	-38.803	-151.8
180.0	0.011	-39.155	-153.0
190.0	0.009	-40.508	-156.3
200.0	0.010	-39.733	-160.3
210.0	0.013	-37.454	-159.3
220.0	0.009	-40.502	-165.3
230.0	0.012	-38.722	-166.2
240.0	0.011	-38.968	-166.3
250.0	0.013	-37.964	-159.0
260.0	0.020	-34.063	-169.6
270.0	0.012	-38.156	-170.7
280.0	0.011	-39.482	-172.5
290.0	0.011	-38.938	-174.1
300.0	0.013	-37.704	-175.1
310.0	0.013	-37.554	-176.7
320.0	0.014	-37.274	-177.8
330.0	0.015	-36.353	-179.8
340.0	0.022	-33.102	179.7
350.0	0.024	-32.508	178.6
360.0	0.020	-34.010	177.6
370.0	0.016	-36.072	176.9
380.0	0.014	-36.938	175.0
390.0	0.015	-36.577	174.8
400.0	0.015	-36.660	173.3
410.0	0.016	-36.148	170.8
420.0	0.016	-35.712	171.5
430.0	0.017	-35.383	171.3
440.0	0.018	-35.098	170.9
450.0	0.019	-34.487	168.1
460.0	0.019	-34.546	167.9
470.0	0.019	-34.242	166.2
480.0	0.020	-33.829	166.5
490.0	0.022	-33.115	164.5
500.0	0.025	-31.941	164.4
510.0	0.033	-29.555	163.8
520.0	0.039	-28.070	163.4
530.0	0.031	-30.314	162.3
540.0	0.026	-31.625	162.9
550.0	0.024	-32.502	160.9
560.0	0.023	-32.936	160.7
570.0	0.023	-32.758	159.1
580.0	0.023	-32.636	158.6
590.0	0.024	-32.287	158.1
600.0	0.025	-32.108	157.7
610.0	0.025	-31.908	157.1
620.0	0.026	-31.569	156.6
630.0	0.027	-31.463	156.0
640.0	0.027	-31.219	155.6
650.0	0.028	-30.967	154.7
660.0	0.029	-30.856	154.0
670.0	0.029	-30.613	153.3
680.0	0.030	-30.459	153.0
690.0	0.031	-30.217	152.4
700.0	0.032	-29.970	151.7
710.0	0.032	-29.887	151.6
720.0	0.033	-29.755	151.1
730.0	0.033	-29.639	149.8
740.0	0.033	-29.687	149.8
750.0	0.033	-29.557	149.3
760.0	0.034	-29.448	148.6
770.0	0.034	-29.341	148.5
780.0	0.035	-29.171	147.8
790.0	0.035	-29.114	147.8
800.0	0.035	-29.093	146.7
810.0	0.036	-28.938	146.8
820.0	0.036	-28.800	146.3
830.0	0.037	-28.678	145.6
840.0	0.037	-28.526	145.3
850.0	0.038	-28.451	144.8
860.0	0.038	-28.339	144.5
870.0	0.039	-28.128	144.1
880.0	0.040	-27.874	143.9
890.0	0.042	-27.592	143.3
900.0	0.043	-27.431	143.0
910.0	0.043	-27.361	142.4
920.0	0.043	-27.245	142.0
930.0	0.044	-27.134	141.7
940.0	0.044	-27.050	141.5
950.0	0.045	-26.901	141.2
960.0	0.046	-26.751	140.6
970.0	0.047	-26.533	140.3
980.0	0.048	-26.311	139.7
990.0	0.051	-25.806	139.4
1000.0	0.055	-25.168	139.6
