Hz	Vrms	dBV	deg
10.00	0.003	-49.286	2.0
20.00	0.004	-47.788	-43.2
30.00	0.005	-46.313	-78.4
40.00	0.006	-44.607	-150.5
50.00	0.007	-43.357	-149.9
60.00	0.006	-44.006	-165.9
70.00	0.007	-42.788	178.7
80.00	0.008	-41.957	179.0
90.00	0.007	-42.698	177.1
100.0	0.010	-39.657	173.4
110.0	0.018	-34.688	166.6
120.0	0.011	-39.250	162.3
130.0	0.012	-38.082	161.3
140.0	0.009	-40.509	160.4
150.0	0.014	-37.117	157.8
160.0	0.010	-39.810	153.5
170.0	0.013	-38.048	151.4
180.0	0.014	-37.306	149.3
190.0	0.013	-38.012	147.2
200.0	0.013	-37.472	146.2
210.0	0.019	-34.338	143.7
220.0	0.014	-36.935	142.4
230.0	0.016	-35.988	141.5
240.0	0.016	-35.690	140.2
250.0	0.019	-34.558	138.2
260.0	0.025	-31.922	137.0
270.0	0.019	-34.363	136.5
280.0	0.018	-34.967	135.2
290.0	0.019	-34.481	134.1
300.0	0.020	-33.852	133.0
310.0	0.021	-33.537	132.0
320.0	0.022	-33.250	131.1
330.0	0.023	-32.819	130.4
340.0	0.027	-31.382	129.1
350.0	0.034	-29.333	128.6
360.0	0.028	-30.959	127.7
370.0	0.026	-31.854	127.2
380.0	0.025	-32.020	126.4
390.0	0.026	-31.762	126.1
400.0	0.026	-31.558	125.4
410.0	0.027	-31.325	124.5
420.0	0.028	-31.000	124.1
430.0	0.029	-30.746	123.4
440.0	0.030	-30.423	122.7
450.0	0.031	-30.230	122.5
460.0	0.031	-30.072	122.3
470.0	0.032	-29.836	121.6
480.0	0.033	-29.666	121.4
490.0	0.034	-29.366	120.8
500.0	0.036	-28.767	120.4
510.0	0.040	-27.893	120.3
520.0	0.051	-25.792	119.8
530.0	0.046	-26.764	119.4
540.0	0.040	-27.922	118.9
550.0	0.038	-28.381	118.9
560.0	0.038	-28.484	118.1
570.0	0.038	-28.420	118.6
580.0	0.039	-28.245	118.4
590.0	0.039	-28.147	117.4
600.0	0.040	-27.977	117.4
610.0	0.041	-27.755	117.0
620.0	0.042	-27.555	116.6
630.0	0.042	-27.466	116.4
640.0	0.043	-27.278	116.2
650.0	0.044	-27.158	116.0
660.0	0.045	-26.954	115.9
670.0	0.046	-26.829	115.3
680.0	0.046	-26.769	115.3
690.0	0.047	-26.518	114.9
700.0	0.048	-26.451	114.9
710.0	0.048	-26.342	114.5
720.0	0.049	-26.200	114.6
730.0	0.049	-26.109	114.4
740.0	0.050	-26.025	114.0
750.0	0.051	-25.930	113.7
760.0	0.051	-25.862	113.4
770.0	0.051	-25.774	113.4
780.0	0.052	-25.602	113.3
790.0	0.053	-25.594	113.4
800.0	0.053	-25.494	113.1
810.0	0.054	-25.380	112.6
820.0	0.054	-25.354	112.6
830.0	0.054	-25.275	112.3
840.0	0.055	-25.205	112.2
850.0	0.056	-25.083	112.1
860.0	0.057	-24.959	111.9
870.0	0.057	-24.863	111.6
880.0	0.058	-24.748	111.4
890.0	0.059	-24.558	111.5
900.0	0.060	-24.422	111.4
910.0	0.060	-24.384	111.2
920.0	0.061	-24.331	111.2
930.0	0.062	-24.218	110.9
940.0	0.062	-24.124	110.8
950.0	0.063	-24.064	110.5
960.0	0.064	-23.913	110.6
970.0	0.064	-23.851	110.4
980.0	0.065	-23.744	109.7
990.0	0.067	-23.532	110.1
1000.0	0.069	-23.184	109.9
