  Hz	 Vrms	dBV	deg
10.00	0.005	-46.559	-6.2
20.00	0.006	-44.899	-141.7
30.00	0.007	-43.441	-100.3
40.00	0.008	-42.324	46.4
50.00	0.012	-38.116	-113.4
60.00	0.009	-40.491	-79.7
70.00	0.012	-38.666	-83.6
80.00	0.009	-41.014	-87.7
90.00	0.013	-37.568	-86.6
100.0	0.023	-32.733	-79.1
110.0	0.017	-35.190	-91.4
120.0	0.011	-38.893	-92.7
130.0	0.019	-34.459	-90.0
140.0	0.010	-40.206	-98.1
150.0	0.019	-34.414	-87.6
160.0	0.010	-39.675	-87.6
170.0	0.011	-38.974	-88.7
180.0	0.024	-32.490	-85.3
190.0	0.012	-38.408	-98.1
200.0	0.011	-38.922	-89.1
210.0	0.010	-39.712	-88.0
220.0	0.018	-34.911	-79.3
230.0	0.025	-31.991	-89.6
240.0	0.014	-36.917	-90.0
250.0	0.016	-35.788	-85.5
260.0	0.013	-37.930	-91.9
270.0	0.012	-38.537	-90.1
280.0	0.011	-39.107	-89.8
290.0	0.016	-35.724	-89.4
300.0	0.036	-28.807	-90.2
310.0	0.022	-33.079	-90.9
320.0	0.014	-36.816	-92.2
330.0	0.014	-37.113	-91.3
340.0	0.017	-35.389	-90.8
350.0	0.021	-33.637	-92.9
360.0	0.019	-34.502	-90.0
370.0	0.015	-36.509	-89.8
380.0	0.013	-37.618	-90.7
390.0	0.012	-38.171	-92.3
400.0	0.012	-38.592	-86.6
410.0	0.012	-38.189	-88.9
420.0	0.012	-38.772	-90.2
430.0	0.014	-37.115	-87.6
440.0	0.030	-30.434	-82.5
450.0	0.052	-25.630	-89.5
460.0	0.046	-26.803	-89.8
470.0	0.023	-32.813	-89.3
480.0	0.017	-35.486	-91.5
490.0	0.015	-36.448	-90.7
500.0	0.015	-36.760	-89.9
510.0	0.014	-37.183	-90.5
520.0	0.014	-36.902	-90.8
530.0	0.015	-36.649	-90.0
540.0	0.015	-36.381	-92.2
550.0	0.015	-36.498	-86.8
560.0	0.014	-37.026	-90.3
570.0	0.015	-36.726	-90.8
580.0	0.015	-36.317	-88.3
590.0	0.015	-36.488	-89.9
600.0	0.015	-36.500	-90.8
610.0	0.016	-36.011	-90.3
620.0	0.018	-34.743	-91.5
630.0	0.018	-34.677	-89.9
640.0	0.018	-34.659	-89.7
650.0	0.017	-35.445	-90.1
660.0	0.017	-35.408	-91.4
670.0	0.019	-34.515	-89.9
680.0	0.020	-33.994	-90.7
690.0	0.020	-34.169	-91.5
700.0	0.018	-34.994	-90.8
710.0	0.016	-35.773	-90.0
720.0	0.015	-36.252	-89.5
730.0	0.015	-36.413	-89.8
740.0	0.015	-36.498	-91.1
750.0	0.015	-36.453	-90.2
760.0	0.015	-36.716	-89.8
770.0	0.014	-36.834	-90.9
780.0	0.014	-37.090	-89.9
790.0	0.013	-37.794	-88.4
800.0	0.013	-38.036	-91.8
810.0	0.013	-37.694	-90.1
820.0	0.013	-37.694	-90.8
830.0	0.013	-37.786	-90.7
840.0	0.013	-37.435	-90.1
850.0	0.015	-36.451	-91.7
860.0	0.023	-32.933	-90.6
870.0	0.039	-28.267	-90.8
880.0	0.058	-24.697	-91.3
890.0	0.077	-22.282	-92.2
900.0	0.103	-19.727	-88.8
910.0	0.119	-18.462	-90.0
920.0	0.089	-20.986	-90.2
930.0	0.058	-24.727	-90.9
940.0	0.042	-27.610	-90.5
950.0	0.032	-29.939	-91.0
960.0	0.026	-31.562	-90.6
970.0	0.023	-32.793	-91.1
980.0	0.021	-33.491	-86.2
990.0	0.019	-34.403	-91.2
1000.0	0.019	-34.565	-89.7
