Hz	Vrms	dBV	deg
100.0	0.011	-39.103	-90.7
200.0	0.010	-40.342	-97.6
300.0	0.010	-39.610	-104.3
400.0	0.009	-40.891	-112.0
500.0	0.018	-34.940	-115.5
600.0	0.010	-39.831	-118.9
700.0	0.014	-36.943	-122.8
800.0	0.012	-38.586	-126.0
900.0	0.019	-34.519	-129.6
1000.0	0.033	-29.620	-134.1
2000.0	0.026	-31.853	-158.1
3000.0	0.036	-28.757	-171.6
4000.0	0.045	-27.023	178.8
5000.0	0.052	-25.647	172.3
6000.0	0.059	-24.657	167.5
7000.0	0.063	-24.078	163.4
8000.0	0.066	-23.546	160.7
9000.0	0.070	-23.135	158.1
10000	0.071	-22.925	157.1
